,ids,kw
0,8001,"['elements', '顶尖', 'of', '硅谷', '公司', '教科书', 'the', '分为', 'pattern', '面试', 'Offer', '五家', '拿到', '经典']"
1,8002,"['机器', 'Neural', '四周', '本片', '二者之间', 'Representation', '吴恩达', '题目', '龙星', '答案', 'Coursera', '测验', '课程', '学习', 'coursera', '截图', '第二周', 'Networks', '二者', '文章内容']"
2,8003,"['第十一', 'machine', '机器', 'learning', 'design', '设计', 'Coursera', 'system', '公开课', '斯坦福大学', '学习', 'Machine', 'coursera', '系统', 'des', '笔记']"
3,8004,"['machine', '借助', '机器', 'learning', 'amazon', 'Example', 'AWS', 'Lynda', '中文字幕', 'fernandes', '讲师', 'web', 'by', 'Machine', '学习', '示例', '课程', 'services', 'Learning']"
4,8005,"['机器', '贝叶斯', '剩余', '交流', '代码', '周志华', '统计', '方法', '新手', '解释', '实战', '讲解', '数学系', 'pyhton3.6', '学习', '朴素']"
5,8006,"['细节', '机器', '参考资料', '读者', '新手入门', '简明', 'idea', 'roadmap', '实用', '手册', '学习', '面向', '式子']"
6,8007,"['包括', '机器', 'google', 'learning', 'Kotlin', '详细', '资料', 'mit', '环境', '工具', '学习', '两份', '语法', '官网', '搭建']"
7,8008,"['阅读', '打破', '二十几年', '领取', '资料', '系统', '入手', '分钟', '关键词', '本文', '二进制', '二次', '机器', '二是', '学习', '余字', '二者', '数学', '二级', '文末', '工程师', '边界']"
8,8009,"['机器', '二者之间', '二级', '二阶', '云栖', '龙星', '二是', '二落', '二项分布', '于读', '相关', '实战', 'null', '二进制', '云端', '学习', '云盘', '简介', '二次', '二者']"
9,8010,"['泰勒', '机器', '数学', '背景', '统计', '概率论', '基础', '一点点', '四个', '公式', '线性代数', '扎实', '学习', '梳理', '微积分']"
10,8011,"['实验', '贝叶斯', '课件', '概率论', '资料', '最新', '课程', 'No109', '升级版', '数学分析', '先验', '机器', '视频教程', '课时', '学习', '下载', '第一周', '大纲', '手册', 'III', '学院', '视频', '备忘']"
11,8012,"['评论', '贝叶斯', '引言', '介绍', '难以', '统计', '理解', '概念', '本文', '相关', '学者', '来头']"
12,8013,"['查阅', '介绍', '博主', '机器', '一部分', '评价', '简要', '指标', '最常', '相关', '讲解', '计算', '重点', '学习', '文献']"
13,8014,"['正合适', '机器', '正则', '第三周', '正规', '原因', '逻辑', '线性', '方法', '方程', '回归', '程度', '偏差', '左图', '学习', '理论', '解决', '拟合']"
14,8015,"['作者', '百来', '文档', '廖君', '深度', '来源', '更新', '不定期', '学习', 'com', '视频', '原文', '收藏']"
15,8016,"['机器', '最终', 'amp', 'gt', '带入', '概念', '计算', '预测', '更好', '学习', '已有', '未来', '某种']"
16,8017,"['假设', '正负', '机器', '一篇', '提到', '逻辑', '回归', '线性', '一种', '简单', '学习', '数据', '信息', '笔记']"
17,8018,"['机器', '综述', '二者之间', '二级', '二阶', '谈起', '云栖', '龙星', '二落', '二项分布', '云端', '二进制', '学习', '云盘', '于读', '二者']"
18,8019,"['machine', '年前', '机器', '时间', 'learning', '一周', '1403mashaonan', '两周', 'qaq', '读书', '实战', 'action', '本书', '学习', '终于']"
19,8020,"['再用', '机器', '读取', '小结', '概述', '一种', '预测', '学习', '决策树', '逐行', '统计学']"
20,8021,"['机器', 'KNN', '李航', '讨论', '空间', '维空间', '方法', '算法', '学习', '矩形', '做下']"
21,8022,"['机器', '数据', '课件', '数据挖掘', '内容', '线性', '下载', 'Schmidt', '地址', '预测', '因子', 'Mark', '学习', 'dfpan', '原文']"
22,8023,"['机器', '入门', '应用领域', '理解', '小白', '说白了', '之处', '简单', '学习', '听大牛们', '名词', '干什么']"
23,8024,"['机器', '二者之间', 'tf', '二阶', '线性', '回归', '二落', '龙星', '二项分布', '二进制', 'lir', 'TF', '学习', 'LiR', '算法', 'tensorflow', '二者']"
24,8025,"['机器', '知乎', '转载', '链接', 'rmb', '之父', '资料', '深度', 'gan', 'deep', '自寻', 'ian', '学习', '不用', '系统', '我花', 'goodfellow']"
25,8026,"['机器', 'matplotlib', 'pandas', '人工智能', '速查表', 'zoo', 'keras', 'neural', '深度', '事业', 'learn', 'scipy', '学习', 'numpy', 'networks', 'scikit']"
26,8027,"['介绍', '机器', '策略', '技巧', '分享', '变换', '推断', '汇总', '理解', '之心', '生成', '这是', '深度', '边界', '学习', 'ferenc', '变分', '一文', 'husz', '进化']"
27,8028,"['一系列', '机器', '依然', '规律', '噪声', '特征', '工程', '修改', '包含', '因素', '学习', '活动', '添加']"
28,8029,"['租赁', '机器', '常见', '领域', '例子', 'amazon', 'netflix', '越来越', '流行', '建议', '热门', '必知', 'Machine', '学习', '研究', '算法', 'Learning', '程序员']"
29,8030,"['划分', '机器', '监督', '场景', '采用', '特征', '方法', '相似性', '学习', '包含', '特定', '亮度']"
