,ids,kw
0,6001,"['干货', '基础', '入门', '简要地', '扩展', '科技界', '科技', '专业术语', '包括', '一份', '一位', '搞懂', '学习', '再谈', '八大', '领域', '概念', '林椿', '机器', '依然']"
1,6002,"['直观', '人为', 'L2', '通俗易懂', '交易量', 'l2', '学习', '正则', '交错', '交流', '交汇', '解释', 'L1', 'l1', '机器', '交易', '交底']"
2,6003,"['regression', '栏目', 'regularization', 'machine', 'Neural', 'octave', '学习', '神经网络', 'Networks', 'learning', '支持', 'logistic', '降维', 'Stanford', '包括', '机器']"
3,6004,"['产业', '交谈', '交通', '超平面', '交汇', '学习', '产品', '交道', '交融', '交错', '交流', '支撑', '优化', '交易量', '含有', '机器', '交易', '龙牧雪']"
4,6005,"['交通', '发表', '交汇', '深感', '机器', '发展', '钦佩', '学习', '指出', '具体内容', '交易量', '江泽民', '交易', '洞察力', '预见性', '交流', '智能化', '十年', '长者', '有所作为', '论文', '这篇']"
5,6006,"['方法', '资料', '样本', '介绍', '特征', '学习', '相关', 'unsupervised', '数据', '标签', '简单', '提供', '两种', '机器', 'supervised']"
6,6007,"['拜小白', '模型', '完整', '学习', '流程', '分割线', '数据', '预测', '发挥作用', '工作', '影响', '环节', '展开', '算法', '构建', '机器', '围绕']"
7,6008,"['方法', 'regularization', 'the', '学习', '归一化', 'overfit', '逻辑', '讨论', 'problem', '机器', '线性', '讨论一下']"
8,6009,"['近邻', '交通', '原理', '实战', '代码', '学习', '交道', '交错', '交融', '产业界', '算法', '交流', '交谈', '机器', '龙牧雪']"
9,6010,"['最全', '实例', '转型', '编译', '服务', '科技', '张子琦', '普及', '介绍', 'AI', '当今', '学习', '预测', '技术', '软件产品', '包括', '机器', '公司', '程序员']"
10,6011,"['推广应用', '特有', 'machine', 'SVM', 'support', '优势', '拟合', '学习', '分类', '解决', '分析', '领域', '函数', 'svm', '非线性', '机器']"
11,6012,"['思想', '功能', 'Machine', 'machine', '编写', '提示', '学习', '水量', 'learning', '处理事件', '训练', '程序', 'What', '机器', '能力', '重点']"
12,6013,"['分析师', 'stanford', 'ng', '公开课', '步法', 'coursera', '实用', 'john', '在线', 'udacity', '数据', '吴恩达', 'mit', 'khan', 'andrew']"
13,6014,"['词汇', '例子', '设置', '属性', '数据', 'learn', '预测', '简单', '来试', '内容']"
14,6015,"['来源于', '观后', 'study', '记录', '有趣', '学习', '简介', 'course', '网易', 'htm', 'coursedetail', 'com', '机器', '焦点']"
15,6016,"['pickle', '方法', 'python', '实践', '当有', '深度', '标准', '加载', '模型', '学习', '保存', '生产', '数据', '持久', '生成', '发布', 'Python', '机器', '环境']"
16,6017,"['成本', '耗时', '实战', '检测', '划归', '项目', '一件', '数据', '学习', '逻辑', '回归', '欺诈', '分类', '流程', '胡乱', '信用卡', '完整', '机器', '聚类']"
17,6018,"['迁移', '指南', '构建', '学习', '回归', '方方面面', '简单', '资源', '自学', '机器', '程序员', '经验']"
18,6019,"['数学', 'Boosting', 'gradient', 'combining', 'boosting', '产业', '组合', '交通', 'Gradient', '模型', '学习', '交道', '交错', 'Model', 'model', '链接', '交谈', '机器', 'Combining']"
19,6020,"['困难', '推荐', '西瓜', 'python', '资料', '周志华', '实战', '学习', '内容', '相关', '详细', '算法', '选择', '注重', '理论', '机器', '初学者']"
20,6021,"['谷歌', '定义', 'cn', 'machine', 'ml', '地址', 'google', '学习', '术语', 'course', 'learning', '简单', 'Framing', 'developers', 'https', '构建', '机器']"
21,6022,"['最强', '史上', '做个', '入门', '好文', '必读', '概要', '介绍', '心血', '导读', '学习', '面对', '谈起', '机器', '投林']"
22,6023,"['问到', '建立', '解决问题', '区别', '数据量', '模型', '学习', '篇文章', '一张', '科学', '覆盖', '科学论坛', '机器', '统计', '差异']"
23,6024,"['方法', '深度', '表现', '杜夏德', '一位', '模型', '技巧', '学习', '亚洲', '吴攀', '之心', '自学', '提升', '本文']"
24,6025,"['输入', '1n', 'nn', '特征', '学习', '回归', '总数', 'ii', 'ps', '输出', '解释', 'yy', '维度', '机器', '线性']"
25,6026,"['推荐', '热门', '方法', '阅读', '何永灿', '引人注目', '学习', '热点', '来源', '广告', '环节', '微博', '机器']"
26,6027,"['系统', '科学计算', '扩展', 'python', '方法', 'numpy', 'scipy', 'scikit', '学习', '领域', '也许', '后期', '调研', '机器', '常见']"
27,6028,"['交通', '模型', '学习', '人前', '交融', '选择', '交汇', '交流', '人及', '交易量', '交谈', '机器', '交易', '规则化', '交底']"
28,6029,"['笔记', '读书会', '来到', 'machine', '卷积', '组织', 'dl', '神经网络', '通俗', '理解', 'learning', '热情', 'CNN', '课程', 'cs231n']"
29,6030,"['数学', '入门', '算是', '技法', 'adaboost', '推导', '记录', '第八', 'coursera', '老师', '学习', '吴恩达', '浅显', '林轩', '机器']"
30,6031,"['特别', '几种', '入门', 'Spark', '实战', '一门', '数据', '学习', 'SparkMLlib', '系列', '简介', '性能', '维基百科', 'MLlib', '概念', '机器']"
31,6032,"['基础', '受限', '用户', '卷积', 'rbm', '内嵌', '设计', '学习', 'rnn', 'cnn', '机器']"
32,6033,"['博文', '介绍', '说起', 'amp', '学习', '算法', '简单', '指出', '优化', 'csdn', '动机', '机器', '博主', '本文']"
33,6034,"['笔记', '源代码', '计算机科学', '和统', '扩展', '勘误', '实战', '在线', '学习', '分类', '人民邮电出版社', '知识点', '整理', '机器', '第一']"
34,6035,"['产业', '交通', '老师', '研一', 'MAP', 'MLE', '计算所', '课程', '学习', '交道', '交错', '产业界', '交流', '交汇', '交谈', '机器', '龙牧雪']"
35,6036,"['而加', '区别', '罚项', '损失', '绝对值', '平方和', '个数', '拟合', '学习', '正则', '函数', 'l0', '机器']"
36,6037,"['出处', '背景', '参考', '最早', 'python', '5.1', '注明', 'SVM', '转载', '学习', 'baidu', 'http', '1kvne5ej', 'vapnik', 'pan', '机器', 'ya']"
37,6038,"['net', '出处', 'blog', '作者', 'xiaoyang', '资料', 'details', '时间', '学习', '系列', '龙心', 'csdn', 'article', 'ml', '机器', '路线图', '寒小阳', 'art']"
38,6039,"['笔记', '产业', '线性代数', 'com', 'julyedu', '在线', '月份', '学习', 'www', '交融', '算法', 'http', '交流', '矩阵', '交谈', '机器', '七月']"
39,6040,"['策略', '决策树', 'decision', 'details', '优点', '模型', '学习', '易于', '回归', 'bolg', '可读性', 'zx10212029', 'article', '机器', 'blog', '速度']"
40,6041,"['宏观', '文章', '做个', '目的', '实践', '概要', '介绍', '人工智能', '学习', '相关', '本篇', '交道', '交汇', '交易量', '机器', '交易', '本文']"
41,6042,"['教程', '分割', '入门教程', '入门', '代码', '深度', '学习', '交融', '产业界', '链接', '指导', '交谈', '语义', '机器']"
42,6043,"['数学', '西瓜', '一堆', '引言', 'python', '较差', '过程', '深度', '三本', 'Chapter', '模型', '学习', '相关', '深感', '机器', '线性', 'world']"
