,ids,kw
0,2001,"['人定', '人力', '机器', '人工', '人体', '系列', '人为', '人口', '人公', '人士', '学习', '数学知识', '人员', '亲爱', '人去', '涉及']"
1,2002,"['提上', '博客', '分析', '微软', '实习', '感觉', '重复', '写作能力', '机器', '不到', '系列', '日程', '学习', '东东', '回过头来', '简单']"
2,2003,"['开源', 'http', 'org', 'C++', '机器', '笔者', '优化', 'Shark', '功能丰富', '神经网络', '强大', '学习', '非线性', '相关', '转载自', 'html']"
3,2004,"['tensorflow', '亚洲', '人力', '越来越', '机器', '解决', '人口', 'gis', 'anaconda', '学习', '神经网络', '数据', '安装', '五大类', '人公', '人去', 'TensorFlow', 'Anaconda']"
4,2005,"['会谈', '机器', '成长', '面向', '篇文章', '从头开始', '尝试', '神经网络', '学习', '最新', '知识', '有人', '技术', '一名', '工程师']"
5,2006,"['人定', '人力', '人工智能', '机器', '过程', 'Python', '小结', '人体', '人为', '人工', '人口', '人公', '人士', '学习', '人尽皆知', '人工智慧', '人员', '人去']"
6,2007,"['建立', '分析', '解释', '语音', '图像', '深度', '机器', '普通人', '一点', '计算机', '学习', '模仿', '机制', '研究']"
7,2008,"['聚类', '面试题', 'logistic', '决策树', '记下来', '机器', 'regression', '面试', '支持', '内容', '学习', 'em', '复习', '来源']"
8,2009,"['人定', '人力', '人类文明', '人工智能', '机器', '人体', '解答', '人为', '人口', '人公', '人士', '学习', '人去', '问答', '人类', '人员', '人类基因']"
9,2010,"['聚类', 'question', '预测', '程序员', 'Machine', '方程', '回归', '解决', '机器', '已知', 'www', 'https', 'Learning', 'zhihu', '分类', 'Overview', 'com']"
10,2011,"['growth', '频繁', '博客', 'apriori', '算法', '机器', '笔记', '高效', '发现', '项集', 'FP', '学习', '一章', '一书', '记录', '实战', '十三']"
11,2012,"['supervised', '第一课', '理解', '机器', '教授', '函数', 'svd', 'unsupervised', '学习', '概念', '吴恩达', '最初', 'component', 'independent', 'analysis']"
12,2013,"['博客', '数据结构', '理解', '鸟哥', '必知', '目录', '设计', '核心技术', '私房', '希仁', '操作系统']"
13,2014,"['梅隆', '网站', '编程', '入门', 'http', '方法', 'pattern', '好书', '机器', 'csdn', '链接', '数据挖掘', '卡内基', '学习', 'net', '推荐', '周志华', 'blog']"
14,2015,"['识别', '编程', '说法', '机器', '讨论', '希望', '解决', '自动', '学习', '手写', '提高', '性能', '驾驶']"
15,2016,"['这节', 'strategy', 'ml', '1.2', '深度', '机器', '笔记', '学习策略', '经验', '不到', '特定', '1.1', '介绍', '学习', '知识', '相比']"
16,2017,"['tensorflow', 'windows', '深度', '路径', '命令行', 'pip', 'cd', 'python', '学习', '2017', 'pycharm', 'exe3', '安装']"
17,2018,"['本节', '情况', '增强', '可行性', '基石', '机器', '笔记', '例子', '讨论', '第一个', '解决', 'Feasibility', 'learning', 'Learning', '台湾大学', '学习', '可行', '类型', '林轩', 'of']"
18,2019,"['introduction1', 'samuel', 'coursera', 'Machine', '特定', '笔记', 'tom', '第一个', 'Learning', '学习', 'Coursera', '年代', '计算机', '领域', 'Week1', '给予']"
19,2020,"['实践', '机器', '想要', '推荐', '历史', '搜索词', '学习', '用户', '特征', '会想', '排序']"
20,2021,"['性质', '方法', '式子', '样本空间', '机器', '回归', 'sigmoid', '逻辑', '似然', '学习', '样本', '估计', '两个', '含义', '单个', '合并']"
21,2022,"['人力', '以求', '机器', '函数', '人体', '可视化', '数据处理', '常用', 'numpy', 'python', '学习', '人尽皆知', '亲临现场', '人为', '人公', '亲爱']"
22,2023,"['coursera', '算法', '机器', '笔记', 'and', '模型', '系统', '设计', '学习', '诊断', '改进', 'validation', '吴恩达', '斯坦福']"
23,2024,"['标签', '学中', 'ml', '方法', '机器', '编辑', '讲到', '参数估计', 'bayesian', '三种', '老师', '删除', 'estimation', '学习', '几天', '课上']"
24,2025,"['以求', '亮相', '机器', 'Python', '人体', '人为', '人公', 'python', '学习', '以此', '亲临现场', '亲爱', '搭建', '快速', '环境', '价值']"
25,2026,"['机器', 'tips', '模型', 'pipeline', '学习', '流程', '四个', '若干个']"
26,2027,"['搜索', '关键词', '搜索引擎', '不如人意', '献给', '没试', 'google', 'Google', '技巧', '百度', '小伙伴', '介绍', '简单', '十个', '双引号', 'imooc']"
27,2028,"['纵轴', '基础', '图像', '机器', '回归', 'b1', '学习', '设为', '线性', '横轴']"
28,2029,"['策略', '统计学', '分析', '方法', '基础', '概率', '预测', '机器', '损失', '模型', '构建', '对象', '学习', '数据', '角度看']"
29,2030,"['搜索', '汇总', '随便', '搜索引擎', '只见树木', '深度', '刘才权', '机器', '作者', '编辑', '同学', '参考资料', '翻找', '学习', '入门', '资料', '询问']"
30,2031,"['预测', '机器', '模型', 'Python', '编译', '尝试', 'yawei', '吴双', '自古以来', '小明', 'python', '学习', '黄金价格', '手把手', '文摘', '作品', '储藏', '搭建']"
31,2032,"['方法', '正规', '求解', '梯度', '机器', '回归', '交互式', '亚马逊', '人口', '学习', '五种', '人员', '人去', '下降', '线性', '牛顿', '方程']"
32,2033,"['十大', '搜索引擎', '语音', '算法', '人工智能', '机器', '检测', '学术', '工程', '数据挖掘', '西瓜', '计算机', '学习', '入门', '生物', '证券市场']"
33,2034,"['公开课', '网易', '粗陋', '英文版', '作者', '机器', '纪要', '预计', '学习', 'NG', 'Andrew', '时间', '小节', '开放']"
